小区,老人类型,服务项目,理论月需求(次),实际月需求(次),单次营收(元),单次成本(元)
G,自理,助餐,8764,8764,10.0,8.0
G,自理,日间照料,5008,5008,20.0,16.0
G,自理,上门护理,0,0,30.0,24.0
G,自理,康复理疗,1252,1252,28.0,23.0
G,自理,助浴,0,0,25.0,20.0
G,自理,紧急救助,94,94,0.0,8.0
G,半失能,助餐,3700,3700,10.0,8.0
G,半失能,日间照料,2590,2590,20.0,16.0
G,半失能,上门护理,1110,1110,30.0,24.0
G,半失能,康复理疗,740,740,28.0,23.0
G,半失能,助浴,370,370,25.0,20.0
G,半失能,紧急救助,185,185,0.0,8.0
G,失能,助餐,3124,2793,10.0,8.0
G,失能,日间照料,2556,2285,20.0,16.0
G,失能,上门护理,1704,1523,30.0,24.0
G,失能,康复理疗,852,762,28.0,23.0
G,失能,助浴,568,508,25.0,20.0
G,失能,紧急救助,426,381,0.0,8.0
H,自理,助餐,5782,5782,10.0,8.0
H,自理,日间照料,3304,3304,20.0,16.0
H,自理,上门护理,0,0,30.0,24.0
H,自理,康复理疗,826,826,28.0,23.0
H,自理,助浴,0,0,25.0,20.0
H,自理,紧急救助,62,62,0.0,8.0
H,半失能,助餐,2460,2245,10.0,8.0
H,半失能,日间照料,1722,1571,20.0,16.0
H,半失能,上门护理,738,673,30.0,24.0
H,半失能,康复理疗,492,449,28.0,23.0
H,半失能,助浴,246,224,25.0,20.0
H,半失能,紧急救助,123,112,0.0,8.0
H,失能,助餐,2002,1492,10.0,8.0
H,失能,日间照料,1638,1220,20.0,16.0
H,失能,上门护理,1092,814,30.0,24.0
H,失能,康复理疗,546,407,28.0,23.0
H,失能,助浴,364,271,25.0,20.0
H,失能,紧急救助,273,203,0.0,8.0
I,自理,助餐,7462,7462,10.0,8.0
I,自理,日间照料,4264,4264,20.0,16.0
I,自理,上门护理,0,0,30.0,24.0
I,自理,康复理疗,1066,1066,28.0,23.0
I,自理,助浴,0,0,25.0,20.0
I,自理,紧急救助,80,80,0.0,8.0
I,半失能,助餐,3180,3180,10.0,8.0
I,半失能,日间照料,2226,2226,20.0,16.0
I,半失能,上门护理,954,954,30.0,24.0
I,半失能,康复理疗,636,636,28.0,23.0
I,半失能,助浴,318,318,25.0,20.0
I,半失能,紧急救助,159,159,0.0,8.0
I,失能,助餐,2640,2164,10.0,8.0
I,失能,日间照料,2160,1770,20.0,16.0
I,失能,上门护理,1440,1180,30.0,24.0
I,失能,康复理疗,720,590,28.0,23.0
I,失能,助浴,480,393,25.0,20.0
I,失能,紧急救助,360,295,0.0,8.0
J,自理,助餐,6720,6720,10.0,8.0
J,自理,日间照料,3840,3840,20.0,16.0
J,自理,上门护理,0,0,30.0,24.0
J,自理,康复理疗,960,960,28.0,23.0
J,自理,助浴,0,0,25.0,20.0
J,自理,紧急救助,72,72,0.0,8.0
J,半失能,助餐,2820,2745,10.0,8.0
J,半失能,日间照料,1974,1921,20.0,16.0
J,半失能,上门护理,846,823,30.0,24.0
J,半失能,康复理疗,564,549,28.0,23.0
J,半失能,助浴,282,274,25.0,20.0
J,半失能,紧急救助,141,137,0.0,8.0
J,失能,助餐,2310,1836,10.0,8.0
J,失能,日间照料,1890,1502,20.0,16.0
J,失能,上门护理,1260,1001,30.0,24.0
J,失能,康复理疗,630,501,28.0,23.0
J,失能,助浴,420,334,25.0,20.0
J,失能,紧急救助,315,250,0.0,8.0
